delete_index,value,time_ns,operations
643,66048,1300,73
644,54907,600,59
645,60927,1000,74
646,51233,700,59
647,67959,1000,69
648,80788,1100,64
649,22578,2600,74
650,79372,1300,72
651,63040,1100,69
652,6510,1300,71
653,5276,1400,73
654,61818,1200,76
655,45207,1000,66
656,43084,800,64
657,11809,1200,65
658,42221,1100,71
659,22035,1200,75
660,73319,1000,69
661,75806,1000,68
662,20580,1300,69
663,50729,900,59
664,61698,1200,66
665,13267,1200,69
666,85370,1500,63
667,42109,900,59
668,52187,1200,66
669,29100,1600,68
670,14155,1000,69
671,7461,1000,65
672,56190,800,64
673,79083,900,64
674,9111,800,64
675,68732,800,64
676,89428,1400,69
677,87028,900,74
678,75423,1500,75
679,31071,1000,64
680,3768,15100,68
681,71061,1400,69
682,29389,900,69
683,56999,900,64
684,6186,1100,69
685,24431,1100,74
686,26192,1400,73
687,59940,1100,72
688,60861,900,64
689,50085,1600,77
690,9828,1300,72
691,531,1100,64
692,18987,1200,63
693,75712,800,64
694,35024,1100,69
695,63484,1200,75
696,6056,900,64
697,28668,1600,70
698,63113,1100,68
699,76138,1100,61
700,3795,1100,69
701,21587,1100,66
702,83732,1000,69
703,34567,1300,69
704,41449,1200,82
705,29988,1200,73
706,54281,800,64
707,92020,1000,66
708,97556,1300,74
709,97856,1400,78
710,7859,1000,69
711,97218,900,69
712,78049,900,64
713,47825,800,64
714,89107,900,61
715,49104,900,64
716,71471,1300,68
717,80550,1000,68
718,13861,1300,72
719,41281,900,68
720,49795,1400,78
721,47935,800,61
722,56442,1700,73
723,24409,1200,69
724,28345,1000,64
725,45618,11100,74
726,21508,1600,79
727,2196,1400,71
728,8980,900,61
729,11544,800,64
730,12304,1200,63
731,55555,1200,76
732,32471,1600,83
733,7768,900,59
734,7790,1000,69
735,25988,1100,69
736,10732,1200,74
737,41613,1000,66
738,91628,900,71
739,9788,1200,66
740,47137,1100,64
741,73974,1200,70
742,1248,900,64
743,72980,1100,68
744,83699,900,64
745,6682,800,69
746,28388,800,63
747,52749,800,59
748,99778,700,64
749,98549,1300,80
750,97596,900,61
751,38754,1500,69
752,93156,900,63
753,73316,1100,73
754,77203,1100,69
