index,value,time_ns,operations
462,53559,3600,41
463,44759,3800,45
464,26608,3300,37
465,9497,2800,34
466,38543,3500,42
467,62174,3700,44
468,54599,4100,38
469,85746,3600,42
470,64344,3600,41
471,51517,3000,40
472,56557,4100,38
473,25616,2800,34
474,2806,3100,38
475,75294,3400,40
476,15480,3300,40
477,70065,3000,38
478,57425,3400,42
479,69526,4400,38
480,63757,3200,38
481,77098,34600,38
482,28465,1100,34
483,62148,19800,45
484,36530,2200,49
485,72367,800,34
486,94786,17500,41
487,9254,1100,34
488,66716,9300,44
489,2401,900,38
490,35990,9500,48
491,17047,700,34
492,11234,1800,34
493,1204,900,38
494,84713,1100,42
495,95721,800,38
496,69074,1500,44
497,51324,1100,38
498,14016,1600,41
499,36603,1300,48
500,44673,1500,44
501,62676,1300,40
502,22891,1100,36
503,24823,500,26
504,69150,1500,45
505,28970,900,34
506,76778,1200,40
507,69995,1300,44
508,98304,1000,38
509,81674,900,38
510,51819,1000,38
511,19233,1600,41
512,66174,1000,42
513,24934,1200,40
514,72721,1500,41
515,84957,900,42
516,18685,1200,40
517,41471,1400,45
518,15088,1400,36
519,9875,1500,41
520,90468,1100,40
521,94834,1000,38
522,24725,1300,40
523,22051,2300,37
524,50731,1100,42
525,98530,1300,44
526,85667,1100,42
527,54898,1500,45
528,56338,1300,40
529,29342,1000,38
530,44664,1600,45
531,23974,1200,36
532,99182,1300,44
533,37230,1100,42
534,47726,1100,42
535,29565,900,38
536,66590,1000,38
537,83775,900,30
538,49213,900,42
539,58411,1100,42
540,51100,1100,42
541,77001,1000,34
542,34109,800,42
543,30894,900,34
544,23310,900,34
545,47386,1000,42
546,69674,1100,42
547,64527,1000,42
548,58748,1700,45
549,73825,1400,40
550,2848,1000,38
551,87480,1200,44
552,90813,1000,38
553,41336,900,38
554,44518,1100,42
555,92492,1200,44
556,94314,900,38
557,91087,1300,44
558,60391,900,42
559,36967,1600,49
560,25908,1100,36
561,41969,1300,40
562,83611,1000,38
563,90548,900,38
564,12337,1100,40
565,57653,1800,49
566,43588,1600,45
567,79557,1500,44
568,4657,1400,44
569,99012,1200,44
570,48564,1400,44
